Metric,LlamaGuard,ShieldGemma,WildGuard
N edges,"89,709","125,656","97,053"
N roots,"1,993","3,237","2,809"
tau_SP,0.5000,0.5000,0.5000
ASR* (edge),0.1139,0.1471,0.1489
ASR* (root),0.8209,0.8211,0.8345
ASR*@1,0.7015,0.6864,0.7291
ASR*@5,0.8209,0.8211,0.8345
Bypass (edge),0.1904,0.2411,0.2270
Bypass (root),0.9945,0.9972,0.9979
Bypass@1,0.8881,0.8820,0.9064
Bypass@5,0.9945,0.9972,0.9979
SP (edge) mean,0.6133,0.6007,0.6270
SP (edge) std,0.1624,0.1440,0.1675
SP (root) mean,0.5734,0.5635,0.5829
SP (root) std,0.1409,0.1366,0.1484
JCO (edge),0.1033,0.1296,0.1286
JCO (root),0.6321,0.6237,0.6405
Depth (edge) mean,3.3107,3.3341,3.1370
Depth (edge) max,5,5,5
Depth (root) mean,1.1715,1.1772,1.1441
Depth (root) max,5,5,5
MEI,0.0493,0.0602,0.0651
Drift mean,0.0452,0.0547,0.0519
Drift std,0.1281,0.1354,0.1384
