Metric,LlamaGuard,ShieldGemma,WildGuard
N edges,"114,505","112,575","117,943"
N roots,"3,774","3,207","4,578"
tau_SP,0.5000,0.5000,0.5000
ASR* (edge),0.1895,0.1856,0.1919
ASR* (root),0.7509,0.7013,0.7368
ASR*@1,0.4769,0.3502,0.5166
ASR*@5,0.7509,0.7013,0.7368
Bypass (edge),0.4574,0.4852,0.4611
Bypass (root),1.0000,0.9997,0.9998
Bypass@1,0.7576,0.6483,0.7973
Bypass@5,1.0000,0.9997,0.9998
SP (edge) mean,0.5195,0.5056,0.5160
SP (edge) std,0.1757,0.1614,0.1780
SP (root) mean,0.4879,0.4557,0.4909
SP (root) std,0.1562,0.1421,0.1548
JCO (edge),0.2152,0.2194,0.2160
JCO (root),0.6066,0.5747,0.6002
Depth (edge) mean,3.4225,3.5539,3.3056
Depth (edge) max,5,5,5
Depth (root) mean,1.2740,1.3949,1.2357
Depth (root) max,5,5,5
MEI,0.0855,0.0789,0.0930
Drift mean,0.0988,0.0976,0.1068
Drift std,0.1799,0.1721,0.1864
